Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Jaroslav Halak,BOS,19-20,31,79.75,73,9.75,3.2,905,91.19,91.93,0.75,1814.0,1273,93.73,94.27,0.53,17.36
Jaroslav Halak,BOS,20-21,19,40.91,46,-4.09,-0.06,482,91.51,90.46,-1.06,1082.8,670,93.89,93.13,-0.76,-0.31
Jason Kasdorf,BUF,15-16,1,1.6,4,-2.4,-0.46,30,94.66,86.67,-8.0,59.93,39,95.9,89.74,-6.15,-2.24
Jason Labarbera,L.A,07-08,45,125.35,121,4.35,3.13,1330,90.57,90.9,0.33,2388.53,1839,93.18,93.42,0.24,15.82
Jason Labarbera,L.A,08-09,19,42.0,46,-4.0,-0.03,439,90.43,89.52,-0.91,1006.65,656,93.6,92.99,-0.61,-0.14
Jason Labarbera,VAN,08-09,8,19.99,19,0.99,0.52,225,91.12,91.56,0.44,428.7,304,93.42,93.75,0.33,2.76
Jason Labarbera,PHX,09-10,17,38.99,33,5.99,1.85,459,91.51,92.81,1.3,927.45,627,93.78,94.74,0.95,9.6
Jason Labarbera,PHX,10-11,17,46.54,48,0.54,0.93,528,91.19,90.91,-0.28,875.65,709,93.44,93.23,-0.21,4.75
Jason Labarbera,PHX,11-12,19,42.29,43,-0.71,0.65,485,91.28,91.13,-0.15,1010.95,693,93.9,93.8,-0.1,3.27
Jason Labarbera,PHX,12-13,15,38.76,32,7.76,2.27,417,90.7,92.33,1.62,722.98,576,93.27,94.44,1.17,11.31
Jason Labarbera,EDM,13-14,7,12.68,19,-5.32,-0.84,146,91.32,86.99,-4.33,347.77,206,93.85,90.78,-3.07,-4.19
Jason Labarbera,ANA,14-15,5,6.66,9,-2.34,-0.35,99,93.27,90.91,-2.36,204.67,131,94.92,93.13,-1.79,-1.71
Jean-Sebastien Aubin,L.A,07-08,19,37.5,44,-5.5,-0.4,385,90.26,88.57,-1.69,839.18,555,93.24,92.07,-1.17,-2.01
Jean-Sebastien Giguere,ANA,07-08,56,120.79,111,11.79,4.51,1431,91.56,92.24,0.68,3074.98,1980,93.9,94.39,0.49,22.8
Jean-Sebastien Giguere,ANA,08-09,45,105.26,123,-12.74,-0.65,1238,91.5,90.06,-1.43,2377.72,1701,93.81,92.77,-1.04,-3.46
Jean-Sebastien Giguere,ANA,09-10,20,54.26,57,-0.74,0.79,578,90.61,90.14,-0.47,1104.88,842,93.56,93.23,-0.32,4.11
Jean-Sebastien Giguere,TOR,09-10,15,44.58,38,7.58,2.26,451,90.11,91.57,1.46,894.4,643,93.07,94.09,1.02,11.74
Jean-Sebastien Giguere,TOR,10-11,33,71.69,76,-3.31,0.66,775,90.75,90.19,-0.56,1627.23,1138,93.7,93.32,-0.38,3.4
Jean-Sebastien Giguere,COL,11-12,32,71.94,69,4.94,2.34,850,91.54,91.88,0.35,1789.9,1207,94.04,94.28,0.24,11.65
Jean-Sebastien Giguere,COL,12-13,18,40.11,43,-2.89,0.17,469,91.45,90.83,-0.62,906.95,629,93.62,93.16,-0.46,0.83
Jean-Sebastien Giguere,COL,13-14,22,54.38,53,2.38,1.47,608,91.06,91.28,0.23,1202.03,886,93.86,94.02,0.16,7.34
Jeff Deslauriers,EDM,08-09,10,28.27,30,-1.73,0.14,302,90.64,90.07,-0.57,537.33,432,93.46,93.06,-0.4,0.76
Jeff Deslauriers,EDM,09-10,48,148.13,152,-2.87,2.06,1529,90.31,90.06,-0.25,2785.8,2193,93.25,93.07,-0.18,10.74
Jeff Deslauriers,ANA,11-12,4,11.32,11,0.32,0.27,113,89.98,90.27,0.28,238.17,170,93.34,93.53,0.19,1.36
Jeff Frazee,N.J,12-13,1,0.29,0,0.29,0.06,3,90.41,100.0,9.59,18.6,7,95.89,100.0,4.11,0.32
Jeff Glass,CHI,17-18,15,42.84,45,-0.16,0.71,451,90.5,90.02,-0.48,817.18,625,93.15,92.8,-0.35,3.79
Jeff Zatkoff,PIT,13-14,20,48.53,51,-2.47,0.37,582,91.66,91.24,-0.42,1164.75,817,94.06,93.76,-0.3,1.85
Jeff Zatkoff,PIT,14-15,1,1.52,1,0.52,0.13,17,91.08,94.12,3.04,36.75,27,94.38,96.3,1.91,0.66
Jeff Zatkoff,PIT,15-16,14,28.29,33,-3.71,-0.22,406,93.03,91.87,-1.16,724.65,531,94.67,93.79,-0.89,-1.06
Jeff Zatkoff,L.A,16-17,13,17.07,27,-9.93,-1.64,223,92.35,87.89,-4.45,546.98,301,94.33,91.03,-3.3,-8.3
Jeremy Duchesne,PHI,09-10,1,0.29,1,-0.71,-0.13,4,92.82,75.0,-17.82,16.73,4,92.82,75.0,-17.82,-0.69
Jeremy Smith,COL,16-17,10,25.06,32,-6.94,-0.92,286,91.24,88.81,-2.43,541.07,377,93.35,91.51,-1.84,-4.63
Jeremy Swayman,BOS,20-21,10,21.67,15,6.67,1.66,271,92.0,94.46,2.46,597.2,381,94.31,96.06,1.75,8.77
Jhonas Enroth,BUF,09-10,1,3.08,4,-0.92,-0.11,37,91.67,89.19,-2.48,58.18,45,93.15,91.11,-2.04,-0.59
Jhonas Enroth,BUF,10-11,14,32.62,35,-0.38,0.52,377,91.35,90.72,-0.63,765.42,549,94.06,93.62,-0.43,2.67
Jhonas Enroth,BUF,11-12,26,65.12,62,3.12,1.84,755,91.37,91.79,0.41,1395.12,1064,93.88,94.17,0.29,9.19
Jhonas Enroth,BUF,12-13,12,26.11,27,1.11,0.72,331,92.11,91.84,-0.27,616.62,464,94.37,94.18,-0.19,3.6
Jhonas Enroth,BUF,13-14,28,71.72,73,1.72,1.67,833,91.39,91.24,-0.15,1566.8,1172,93.88,93.77,-0.11,8.37
Jhonas Enroth,BUF,14-15,37,109.23,120,-8.77,0.31,1237,91.17,90.3,-0.87,2190.18,1740,93.72,93.1,-0.62,1.54
Jhonas Enroth,DAL,14-15,13,22.19,25,-1.81,0.06,267,91.69,90.64,-1.05,627.68,389,94.3,93.57,-0.72,0.31
Jhonas Enroth,L.A,15-16,16,33.87,31,2.87,1.24,399,91.51,92.23,0.72,850.0,549,93.83,94.35,0.52,6.0
Jhonas Enroth,TOR,16-17,6,12.8,18,-5.2,-0.79,141,90.92,87.23,-3.69,274.12,190,93.26,90.53,-2.74,-4.0
Jimmy Howard,DET,07-08,4,8.99,7,1.99,0.56,95,90.54,92.63,2.09,196.67,127,92.92,94.49,1.57,2.8
Jimmy Howard,DET,08-09,1,2.23,4,-1.77,-0.29,28,92.05,85.71,-6.33,58.22,38,94.14,89.47,-4.67,-1.57
Jimmy Howard,DET,09-10,62,146.5,138,11.5,4.82,1811,91.91,92.38,0.47,3671.8,2409,93.92,94.27,0.35,25.06
Jimmy Howard,DET,10-11,63,154.78,167,-10.22,0.81,1828,91.53,90.86,-0.67,3592.93,2496,93.8,93.31,-0.49,4.13
Jimmy Howard,DET,11-12,57,125.08,117,11.08,4.55,1493,91.62,92.16,0.54,3342.95,2015,93.79,94.19,0.4,22.72
Jimmy Howard,DET,12-13,42,95.31,87,11.31,4.07,1128,91.55,92.29,0.74,2431.23,1493,93.62,94.17,0.56,20.23
Jimmy Howard,DET,13-14,51,119.01,132,-7.99,0.57,1479,91.95,91.08,-0.88,2979.85,1961,93.93,93.27,-0.66,2.84
Jimmy Howard,DET,14-15,53,107.98,121,-8.02,0.39,1346,91.98,91.01,-0.97,2949.67,1821,94.07,93.36,-0.71,1.91
Jimmy Howard,DET,15-16,37,83.13,92,-3.87,0.8,978,91.5,90.59,-0.91,1959.9,1335,93.77,93.11,-0.66,3.87
Jimmy Howard,DET,16-17,26,57.4,49,8.4,2.73,674,91.48,92.73,1.25,1389.35,956,94.0,94.87,0.88,13.79
Jimmy Howard,DET,17-18,60,154.7,160,-0.3,2.61,1769,91.25,90.96,-0.3,3342.62,2407,93.57,93.35,-0.22,14.03
Jimmy Howard,DET,18-19,55,158.42,155,7.42,4.08,1697,90.66,90.87,0.2,3014.37,2356,93.28,93.42,0.15,22.18
Jimmy Howard,DET,19-20,27,68.83,96,-25.17,-3.47,817,91.58,88.25,-3.33,1362.57,1072,93.58,91.04,-2.53,-18.82
Joacim Eriksson,VAN,13-14,1,4.77,6,-1.23,-0.17,31,84.6,80.65,-3.96,36.0,44,89.15,86.36,-2.79,-0.83
Jocelyn Thibault,BUF,07-08,11,22.42,26,-2.58,-0.11,202,88.9,87.13,-1.77,475.67,314,92.86,91.72,-1.14,-0.56
Joey Daccord,OTT,18-19,1,3.1,5,-1.9,-0.3,40,92.25,87.5,-4.75,60.0,58,94.66,91.38,-3.28,-1.61
Joey Daccord,OTT,20-21,8,19.49,22,-0.51,0.25,214,90.89,89.72,-1.17,398.33,296,93.42,92.57,-0.85,1.32
Joey Macdonald,NYI,07-08,2,6.97,6,0.97,0.32,73,90.45,91.78,1.33,120.42,91,92.34,93.41,1.07,1.6
Joey Macdonald,NYI,08-09,49,142.74,156,-7.26,1.06,1572,90.92,90.08,-0.84,2752.23,2178,93.45,92.84,-0.61,5.69
Joey Macdonald,TOR,09-10,6,13.37,17,-3.63,-0.46,157,91.49,89.17,-2.32,318.78,222,93.98,92.34,-1.64,-2.39
Joey Macdonald,DET,10-11,15,29.09,30,0.09,0.56,371,92.16,91.91,-0.24,717.45,509,94.28,94.11,-0.18,2.84
Joey Macdonald,DET,11-12,14,30.52,29,2.52,1.08,330,90.75,91.21,0.46,797.98,485,93.71,94.02,0.31,5.37
Joey Macdonald,CGY,12-13,21,48.84,55,-6.16,-0.33,552,91.15,90.04,-1.12,1122.18,772,93.67,92.88,-0.8,-1.65
Joey Macdonald,CGY,13-14,11,22.99,29,-6.01,-0.77,264,91.29,89.02,-2.28,595.08,370,93.79,92.16,-1.62,-3.85
Johan Backlund,PHI,09-10,1,3.1,2,1.1,0.27,24,87.1,91.67,4.57,39.33,34,90.89,94.12,3.23,1.39
Johan Hedberg,ATL,07-08,32,78.54,103,-21.46,-2.82,936,91.61,89.0,-2.61,1739.25,1248,93.71,91.75,-1.96,-14.22
Johan Hedberg,ATL,08-09,33,85.65,100,-13.35,-1.05,875,90.21,88.57,-1.64,1710.13,1219,92.97,91.8,-1.18,-5.59
Johan Hedberg,ATL,09-10,47,126.21,114,12.21,4.6,1354,90.68,91.58,0.9,2619.52,1794,92.96,93.65,0.68,23.92
Johan Hedberg,N.J,10-11,34,61.8,68,-5.2,0.12,773,92.0,91.2,-0.8,1666.1,1032,94.01,93.41,-0.6,0.59
Johan Hedberg,N.J,11-12,27,58.32,58,5.32,2.15,713,91.82,91.87,0.05,1579.92,959,93.92,93.95,0.03,10.72
Johan Hedberg,N.J,12-13,19,39.18,51,-11.82,-1.63,435,90.99,88.28,-2.72,1103.78,588,93.34,91.33,-2.01,-8.12
Johan Holmqvist,DAL,07-08,2,3.3,5,-1.7,-0.28,35,90.57,85.71,-4.86,79.22,49,93.27,89.8,-3.47,-1.4
Johan Holmqvist,T.B,07-08,45,90.79,123,-25.21,-3.33,1126,91.94,89.08,-2.86,2450.23,1567,94.21,92.15,-2.06,-16.83
John Curry,PIT,08-09,3,7.36,6,1.36,0.39,69,89.33,91.3,1.98,149.1,96,92.33,93.75,1.42,2.09
John Curry,PIT,09-10,1,1.84,5,-3.16,-0.57,14,86.87,64.29,-22.59,24.48,17,89.19,70.59,-18.6,-2.95
John Curry,MIN,13-14,2,4.88,4,0.88,0.26,57,91.44,92.98,1.54,78.18,72,93.22,94.44,1.22,1.31
John Curry,MIN,14-15,2,1.84,4,-2.16,-0.4,24,92.34,83.33,-9.01,69.07,34,94.6,88.24,-6.36,-1.98
John Gibson,ANA,13-14,3,8.98,4,4.98,1.16,87,89.68,95.4,5.73,180.87,137,93.44,97.08,3.64,5.79
John Gibson,ANA,14-15,23,51.26,57,-4.74,-0.01,671,92.36,91.51,-0.85,1300.6,921,94.43,93.81,-0.62,-0.02
John Gibson,ANA,15-16,40,80.4,79,5.4,2.63,993,91.9,92.04,0.14,2270.15,1409,94.29,94.39,0.1,12.75
John Gibson,ANA,16-17,52,124.04,109,16.04,5.41,1437,91.37,92.41,1.05,2926.12,2007,93.82,94.57,0.75,27.35
John Gibson,ANA,17-18,60,164.53,139,29.53,8.33,1873,91.22,92.58,1.36,3385.28,2674,93.85,94.8,0.95,44.8
John Gibson,ANA,18-19,58,169.13,152,24.13,7.3,1837,90.79,91.73,0.93,3198.28,2593,93.48,94.14,0.66,39.71
John Gibson,ANA,19-20,51,129.68,148,-15.32,-0.57,1553,91.65,90.47,-1.18,2934.83,2200,94.11,93.27,-0.83,-3.06
John Gibson,ANA,20-21,35,92.85,100,-5.15,0.67,1040,91.07,90.38,-0.69,2012.15,1437,93.54,93.04,-0.5,3.53
John Grahame,CAR,07-08,17,37.98,50,-12.02,-1.68,403,90.57,87.59,-2.98,805.68,555,93.16,90.99,-2.17,-8.46
Jon Gillies,CGY,16-17,1,3.25,1,2.25,0.51,28,88.39,96.43,8.04,59.75,46,92.93,97.83,4.89,2.58
Jon Gillies,CGY,17-18,11,26.77,29,-2.23,0.04,280,90.44,89.64,-0.8,604.87,393,93.19,92.62,-0.57,0.24
Jonas Gustavsson,TOR,09-10,42,103.85,111,-4.15,1.04,1145,90.93,90.31,-0.62,2330.78,1611,93.55,93.11,-0.44,5.4
Jonas Gustavsson,TOR,10-11,23,52.55,68,-14.45,-1.86,619,91.51,89.01,-2.5,1232.92,873,93.98,92.21,-1.77,-9.5
Jonas Gustavsson,TOR,11-12,42,102.49,111,-6.51,0.67,1146,91.06,90.31,-0.74,2286.55,1636,93.74,93.22,-0.52,3.35
Jonas Gustavsson,DET,12-13,7,11.22,17,-5.78,-0.95,138,91.87,87.68,-4.19,347.08,204,94.5,91.67,-2.83,-4.74
Jonas Gustavsson,DET,13-14,27,57.8,68,-9.2,-0.79,734,92.13,90.74,-1.39,1539.3,984,94.13,93.09,-1.04,-3.94
Jonas Gustavsson,DET,14-15,7,14.25,15,-0.75,0.11,168,91.51,91.07,-0.44,348.8,235,93.93,93.62,-0.32,0.52
Jonas Gustavsson,BOS,15-16,24,50.81,57,-6.19,-0.29,623,91.84,90.85,-0.99,1249.15,865,94.13,93.41,-0.72,-1.41
Jonas Gustavsson,EDM,16-17,7,12.32,17,-4.68,-0.7,139,91.13,87.77,-3.36,326.87,196,93.71,91.33,-2.39,-3.52
Jonas Hiller,ANA,07-08,22,52.52,41,14.52,3.78,564,90.69,92.73,2.04,1134.52,735,92.85,94.42,1.57,19.11
Jonas Hiller,ANA,08-09,45,110.53,96,16.53,4.92,1189,90.7,91.93,1.22,2409.82,1681,93.42,94.29,0.86,26.28
Jonas Hiller,ANA,09-10,57,159.67,146,20.67,6.82,1766,90.96,91.73,0.77,3173.77,2445,93.47,94.03,0.56,35.48
Jonas Hiller,ANA,10-11,49,127.95,114,16.95,5.62,1492,91.42,92.36,0.93,2654.32,2107,93.93,94.59,0.66,28.77
Jonas Hiller,ANA,11-12,73,170.86,181,-7.14,1.75,2018,91.53,91.03,-0.5,4203.52,2883,94.07,93.72,-0.35,8.73
Jonas Hiller,ANA,12-13,26,54.91,59,-4.09,0.19,674,91.85,91.25,-0.61,1465.75,997,94.49,94.08,-0.41,0.96
Jonas Hiller,ANA,13-14,50,119.64,120,1.64,2.53,1347,91.12,91.09,-0.03,2882.53,1994,94.0,93.98,-0.02,12.65
Jonas Hiller,CGY,14-15,52,114.46,113,2.46,2.72,1370,91.64,91.75,0.11,2831.05,2010,94.31,94.38,0.07,13.35
Jonas Hiller,CGY,15-16,26,61.06,79,-16.94,-2.33,654,90.66,87.92,-2.74,1343.88,946,93.55,91.65,-1.9,-11.29
Jonas Johansson,BUF,19-20,6,12.48,16,-3.52,-0.43,150,91.68,89.33,-2.35,325.22,204,93.88,92.16,-1.73,-2.33
Jonas Johansson,BUF,20-21,7,18.68,24,-5.32,-0.68,207,90.97,88.41,-2.57,379.63,272,93.13,91.18,-1.96,-3.58
Jonas Johansson,COL,20-21,8,13.45,15,-1.55,-0.06,173,92.22,91.33,-0.89,432.6,246,94.53,93.9,-0.63,-0.34
Jonathan Bernier,L.A,07-08,4,13.27,16,-2.73,-0.32,118,88.76,86.44,-2.31,236.72,178,92.55,91.01,-1.53,-1.6
Jonathan Bernier,L.A,09-10,3,8.73,4,4.73,1.06,94,90.72,95.74,5.03,183.73,146,94.02,97.26,3.24,5.51
Jonathan Bernier,L.A,10-11,25,51.07,57,-5.93,-0.24,652,92.17,91.26,-0.91,1368.43,900,94.33,93.67,-0.66,-1.25
Jonathan Bernier,L.A,11-12,16,32.66,35,-1.34,0.33,383,91.47,90.86,-0.61,887.08,533,93.87,93.43,-0.44,1.65
Jonathan Bernier,L.A,12-13,14,25.4,24,2.4,0.95,305,91.67,92.13,0.46,763.13,456,94.43,94.74,0.31,4.73
Jonathan Bernier,TOR,13-14,55,149.48,138,12.48,5.3,1786,91.63,92.27,0.64,3077.28,2556,94.15,94.6,0.45,26.52
Jonathan Bernier,TOR,14-15,58,158.66,152,8.66,4.78,1735,90.86,91.24,0.38,3155.52,2496,93.64,93.91,0.27,23.44
Jonathan Bernier,TOR,15-16,38,92.73,103,-9.27,-0.14,1113,91.67,90.75,-0.92,2134.37,1564,94.07,93.41,-0.66,-0.68
Jonathan Bernier,ANA,16-17,39,85.37,83,4.37,2.41,982,91.31,91.55,0.24,1964.77,1489,94.27,94.43,0.16,12.16
Jonathan Bernier,COL,17-18,37,91.31,95,1.31,1.79,1093,91.65,91.31,-0.34,1971.22,1498,93.9,93.66,-0.25,9.64
Jonathan Bernier,DET,18-19,35,92.75,98,-0.25,1.55,1025,90.95,90.44,-0.51,1845.4,1411,93.43,93.05,-0.37,8.44
Jonathan Bernier,DET,19-20,46,124.99,126,2.99,2.69,1351,90.75,90.67,-0.08,2533.62,1859,93.28,93.22,-0.05,14.59
Jonathan Bernier,DET,20-21,24,62.7,64,-0.3,1.07,756,91.71,91.53,-0.17,1290.88,986,93.64,93.51,-0.13,5.65
Jonathan Quick,L.A,07-08,3,6.49,9,-2.51,-0.38,62,89.54,85.48,-4.05,140.52,86,92.46,89.53,-2.92,-1.9
Jonathan Quick,L.A,08-09,44,108.91,103,8.91,3.49,1199,90.92,91.41,0.49,2509.52,1701,93.6,93.94,0.35,18.67
Jonathan Quick,L.A,09-10,71,174.99,174,3.99,3.86,1886,90.72,90.77,0.05,4152.6,2733,93.6,93.63,0.04,20.06
Jonathan Quick,L.A,10-11,61,135.47,134,7.47,3.9,1631,91.69,91.78,0.09,3570.82,2345,94.22,94.29,0.06,19.95
Jonathan Quick,L.A,11-12,69,160.33,133,29.33,8.81,1862,91.39,92.86,1.47,4070.22,2733,94.13,95.13,1.0,43.95
Jonathan Quick,L.A,12-13,37,75.62,87,-10.38,-0.71,889,91.49,90.21,-1.28,2116.35,1258,93.99,93.08,-0.9,-3.55
Jonathan Quick,L.A,13-14,49,104.09,99,8.09,3.55,1170,91.1,91.54,0.44,2881.35,1722,93.96,94.25,0.3,17.77
Jonathan Quick,L.A,14-15,72,151.28,155,1.28,3.13,1892,92.0,91.81,-0.2,4117.73,2686,94.37,94.23,-0.14,15.36
Jonathan Quick,L.A,15-16,68,162.65,149,14.65,6.07,1819,91.06,91.81,0.75,3995.57,2575,93.68,94.21,0.53,29.44
Jonathan Quick,L.A,16-17,17,43.08,35,8.08,2.39,421,89.77,91.69,1.92,923.6,633,93.19,94.47,1.28,12.08
Jonathan Quick,L.A,17-18,64,171.53,146,28.53,8.26,1865,90.8,92.17,1.37,3644.33,2662,93.56,94.52,0.96,44.43
Jonathan Quick,L.A,18-19,46,119.68,149,-25.32,-2.55,1329,91.0,88.79,-2.21,2630.65,1910,93.73,92.2,-1.54,-13.87
Jonathan Quick,L.A,19-20,42,106.14,116,-6.86,0.58,1221,91.31,90.5,-0.81,2496.92,1734,93.88,93.31,-0.57,3.12
Jonathan Quick,L.A,20-21,22,53.05,58,-3.95,0.2,566,90.63,89.75,-0.87,1201.5,810,93.45,92.84,-0.61,1.04
Joni Ortio,CGY,13-14,9,18.77,21,-2.23,-0.09,193,90.28,89.12,-1.16,500.52,291,93.55,92.78,-0.77,-0.46
Joni Ortio,CGY,14-15,6,11.91,14,-2.09,-0.2,153,92.22,90.85,-1.37,327.92,220,94.59,93.64,-0.95,-0.96
Joni Ortio,CGY,15-16,22,50.22,55,-2.78,0.41,564,91.1,90.25,-0.85,1186.92,815,93.84,93.25,-0.59,1.99
Joonas Korpisalo,CBJ,15-16,31,84.54,78,10.54,3.8,969,91.28,91.95,0.67,1787.93,1352,93.75,94.23,0.48,18.45
Joonas Korpisalo,CBJ,16-17,14,38.2,38,1.2,0.94,401,90.47,90.52,0.05,780.97,590,93.52,93.56,0.03,4.76
Joonas Korpisalo,CBJ,17-18,18,51.04,58,-5.96,-0.21,564,90.95,89.72,-1.23,1041.8,738,93.08,92.14,-0.94,-1.1
Joonas Korpisalo,CBJ,18-19,27,57.65,67,-8.35,-0.53,651,91.14,89.71,-1.44,1357.15,889,93.52,92.46,-1.05,-2.89
Joonas Korpisalo,CBJ,19-20,37,84.39,93,-2.61,1.01,1031,91.81,90.98,-0.84,2094.55,1399,93.97,93.35,-0.62,5.48
Joonas Korpisalo,CBJ,20-21,33,79.07,96,-14.93,-1.39,904,91.25,89.38,-1.87,1728.8,1250,93.67,92.32,-1.35,-7.37
Jordan Binnington,STL,15-16,1,0.27,1,-0.73,-0.14,4,93.14,75.0,-18.14,12.78,6,95.43,83.33,-12.1,-0.7
Jordan Binnington,STL,18-19,32,66.0,57,13.0,3.55,795,91.7,92.83,1.13,1836.57,1123,94.12,94.92,0.8,19.29
Jordan Binnington,STL,19-20,50,123.71,125,0.71,2.29,1430,91.35,91.26,-0.09,2893.58,1963,93.7,93.63,-0.07,12.42
Jordan Binnington,STL,20-21,42,106.28,108,2.28,2.28,1198,91.13,90.98,-0.14,2424.0,1664,93.61,93.51,-0.1,12.06
Jose Theodore,COL,07-08,52,122.93,120,3.93,3.03,1338,90.81,91.03,0.22,2929.77,1840,93.32,93.48,0.16,15.3
Jose Theodore,WSH,08-09,57,145.68,157,-7.32,1.09,1570,90.72,90.0,-0.72,3277.9,2190,93.35,92.83,-0.52,5.82
Jose Theodore,WSH,09-10,47,126.35,121,8.35,3.83,1350,90.64,91.04,0.4,2568.4,1841,93.14,93.43,0.29,19.94
Jose Theodore,MIN,10-11,32,80.01,81,0.01,1.44,963,91.69,91.59,-0.1,1782.27,1335,94.01,93.93,-0.07,7.36
Jose Theodore,FLA,11-12,53,123.5,124,1.5,2.61,1501,91.77,91.74,-0.03,3029.95,2035,93.93,93.91,-0.02,13.0
Jose Theodore,FLA,12-13,15,32.69,42,-7.31,-0.86,390,91.62,89.23,-2.39,764.73,531,93.84,92.09,-1.75,-4.26
Josef Korenar,S.J,20-21,10,23.08,26,-1.92,0.05,258,91.05,89.92,-1.13,485.62,353,93.46,92.63,-0.83,0.27
Josh Harding,MIN,07-08,29,63.71,74,-8.29,-0.48,796,92.0,90.7,-1.29,1504.07,1054,93.96,92.98,-0.98,-2.42
Josh Harding,MIN,08-09,19,35.69,31,4.69,1.48,449,92.05,93.1,1.04,860.18,621,94.25,95.01,0.75,7.92
Josh Harding,MIN,09-10,25,59.82,66,-4.18,0.27,692,91.36,90.46,-0.89,1288.95,916,93.47,92.79,-0.67,1.41
Josh Harding,MIN,11-12,34,82.29,81,1.29,1.77,981,91.61,91.74,0.13,1844.87,1367,93.98,94.07,0.09,8.85
Josh Harding,MIN,12-13,5,4.47,10,-5.53,-1.03,73,93.88,86.3,-7.57,184.85,109,95.9,90.83,-5.07,-5.1
Josh Harding,MIN,13-14,29,53.81,45,9.81,2.96,689,92.19,93.47,1.28,1680.92,1007,94.66,95.53,0.88,14.83
Josh Tordjman,PHX,08-09,2,5.23,8,-2.77,-0.42,62,91.56,87.1,-4.47,117.7,76,93.12,89.47,-3.64,-2.24
Jussi Rynnas,TOR,11-12,2,4.69,7,-2.31,-0.37,40,88.27,82.5,-5.77,98.78,66,92.89,89.39,-3.5,-1.85
Jussi Rynnas,TOR,12-13,1,0.52,0,0.52,0.11,6,91.31,100.0,8.69,10.33,9,94.2,100.0,5.8,0.57
Jussi Rynnas,DAL,14-15,2,3.96,7,-3.04,-0.54,44,91.01,84.09,-6.92,92.37,61,93.51,88.52,-4.99,-2.66
Justin Peters,CAR,09-10,9,25.76,23,3.76,1.19,241,89.31,90.46,1.14,484.83,370,93.04,93.78,0.74,6.2
Justin Peters,CAR,10-11,12,32.44,43,-10.56,-1.47,342,90.51,87.43,-3.09,645.78,474,93.16,90.93,-2.23,-7.54
Justin Peters,CAR,11-12,7,19.48,16,3.48,1.06,233,91.64,93.13,1.49,384.65,327,94.04,95.11,1.06,5.26
Justin Peters,CAR,12-13,19,51.47,54,-2.53,0.48,506,89.83,89.33,-0.5,951.1,718,92.83,92.48,-0.35,2.41
Justin Peters,CAR,13-14,21,53.73,51,2.73,1.55,625,91.4,91.84,0.44,1219.08,887,93.94,94.25,0.31,7.76
Justin Peters,WSH,14-15,12,26.98,35,-8.02,-1.14,294,90.82,88.1,-2.73,644.62,429,93.71,91.84,-1.87,-5.59
Justin Peters,ARI,16-17,3,4.91,7,-2.09,-0.32,70,92.98,90.0,-2.98,132.1,92,94.66,92.39,-2.27,-1.62
Justin Pogge,TOR,08-09,7,14.49,27,-12.51,-2.09,173,91.62,84.39,-7.23,371.05,236,93.86,88.56,-5.3,-11.19
Juuse Saros,NSH,15-16,1,1.97,3,-1.03,-0.18,23,91.44,86.96,-4.48,58.02,31,93.65,90.32,-3.33,-0.87
Juuse Saros,NSH,16-17,21,48.69,47,3.69,1.62,614,92.07,92.35,0.28,1189.17,886,94.5,94.7,0.19,8.19
Juuse Saros,NSH,17-18,26,73.51,61,12.51,3.57,809,90.91,92.46,1.55,1483.63,1107,93.36,94.49,1.13,19.18
Juuse Saros,NSH,18-19,31,79.37,74,7.37,2.71,869,90.87,91.48,0.62,1675.38,1234,93.57,94.0,0.43,14.75
Juuse Saros,NSH,19-20,40,99.24,97,5.24,2.67,1133,91.24,91.44,0.2,2128.97,1563,93.65,93.79,0.14,14.46
Juuse Saros,NSH,20-21,36,86.93,78,10.93,3.62,1071,91.88,92.72,0.83,2031.25,1414,93.85,94.48,0.63,19.12
Kaapo Kahkonen,MIN,19-20,5,11.22,15,-2.78,-0.32,172,93.48,91.28,-2.2,299.25,227,95.06,93.39,-1.67,-1.74
Kaapo Kahkonen,MIN,20-21,24,56.13,68,-10.87,-1.05,690,91.86,90.14,-1.72,1395.82,963,94.17,92.94,-1.23,-5.55
Kaden Fulcher,DET,18-19,1,0.73,2,-1.27,-0.22,11,93.4,81.82,-11.58,27.22,14,94.82,85.71,-9.1,-1.2
Kari Lehtonen,ATL,07-08,46,122.73,126,-2.27,1.81,1469,91.65,91.42,-0.22,2578.98,1925,93.62,93.45,-0.17,9.14
Kari Lehtonen,ATL,08-09,45,126.77,130,-1.23,1.97,1452,91.27,91.05,-0.22,2547.3,1908,93.36,93.19,-0.17,10.51
Kari Lehtonen,DAL,09-10,12,31.58,31,1.58,0.86,335,90.57,90.75,0.17,641.1,470,93.28,93.4,0.12,4.49
Kari Lehtonen,DAL,10-11,69,172.23,175,2.23,3.56,2037,91.55,91.41,-0.14,4073.77,2855,93.97,93.87,-0.1,18.2
Kari Lehtonen,DAL,11-12,59,143.28,135,10.28,4.66,1723,91.68,92.16,0.48,3454.37,2429,94.1,94.44,0.34,23.26
Kari Lehtonen,DAL,12-13,36,99.06,87,14.06,4.68,1049,90.56,91.71,1.15,1975.83,1479,93.3,94.12,0.82,23.27
Kari Lehtonen,DAL,13-14,65,171.21,152,25.21,8.26,1885,90.92,91.94,1.02,3777.08,2673,93.59,94.31,0.72,41.32
