Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Corey Crawford,CHI,13-14,59,121.47,127,-5.53,1.15,1531,92.07,91.7,-0.36,3379.08,2044,94.06,93.79,-0.27,5.75
Corey Crawford,CHI,14-15,57,133.53,126,7.53,4.12,1655,91.93,92.39,0.46,3310.52,2177,93.87,94.21,0.35,20.23
Corey Crawford,CHI,15-16,58,143.84,131,16.84,6.21,1719,91.63,92.38,0.75,3285.53,2298,93.74,94.3,0.56,30.13
Corey Crawford,CHI,16-17,55,138.83,137,1.83,2.91,1676,91.72,91.83,0.11,3189.03,2253,93.84,93.92,0.08,14.7
Corey Crawford,CHI,17-18,28,73.97,59,14.97,4.07,840,91.19,92.98,1.78,1571.52,1155,93.6,94.89,1.3,21.9
Corey Crawford,CHI,18-19,39,104.89,108,-2.11,1.4,1175,91.07,90.81,-0.27,2198.9,1572,93.33,93.13,-0.2,7.61
Corey Crawford,CHI,19-20,40,111.39,108,4.39,2.76,1294,91.39,91.65,0.26,2327.33,1685,93.39,93.59,0.2,14.94
Cory Schneider,VAN,08-09,8,16.53,20,-3.47,-0.36,162,89.8,87.65,-2.14,353.18,238,93.05,91.6,-1.46,-1.94
Cory Schneider,VAN,09-10,2,6.97,5,1.97,0.5,59,88.19,91.53,3.33,78.58,84,91.71,94.05,2.34,2.61
Cory Schneider,VAN,10-11,25,67.27,51,17.27,4.56,713,90.57,92.85,2.28,1342.38,993,93.23,94.86,1.64,23.31
Cory Schneider,VAN,11-12,33,79.26,60,22.26,5.91,943,91.6,93.64,2.04,1817.15,1220,93.5,95.08,1.58,29.49
Cory Schneider,VAN,12-13,30,69.41,61,9.41,3.19,835,91.69,92.69,1.01,1719.58,1110,93.75,94.5,0.76,15.87
Cory Schneider,N.J,13-14,45,92.92,87,10.92,3.91,1105,91.59,92.13,0.54,2666.65,1499,93.8,94.2,0.4,19.55
Cory Schneider,N.J,14-15,69,162.24,147,18.24,6.76,1979,91.8,92.57,0.77,3892.45,2631,93.83,94.41,0.58,33.16
Cory Schneider,N.J,15-16,58,134.53,122,16.53,6.0,1593,91.56,92.34,0.79,3366.18,2127,93.68,94.26,0.59,29.11
Cory Schneider,N.J,16-17,60,152.66,161,-6.34,1.59,1778,91.41,90.94,-0.47,3449.78,2443,93.75,93.41,-0.34,8.02
Cory Schneider,N.J,17-18,40,112.18,113,0.18,1.96,1224,90.84,90.77,-0.07,2315.42,1708,93.43,93.38,-0.05,10.56
Cory Schneider,N.J,18-19,26,62.12,70,-3.88,0.38,711,91.26,90.15,-1.11,1346.57,985,93.69,92.89,-0.8,2.07
Cory Schneider,N.J,19-20,13,33.77,40,-5.23,-0.37,355,90.49,88.73,-1.75,677.5,484,93.02,91.74,-1.29,-2.03
Craig Anderson,FLA,07-08,16,45.99,33,13.99,3.61,495,90.71,93.33,2.62,868.98,685,93.29,95.18,1.9,18.22
Craig Anderson,FLA,08-09,31,85.4,74,12.4,3.76,977,91.26,92.43,1.17,1604.28,1311,93.49,94.36,0.87,20.08
Craig Anderson,COL,09-10,71,197.26,186,12.26,5.84,2230,91.15,91.66,0.5,4210.58,3056,93.55,93.91,0.37,30.37
