ID,date,utc_start_time,state,home_team,away_team,home_win_probability,projected_home_goals,projected_away_goals,home_playoffs_if_win,home_cup_if_win,home_points_if_win,home_playoffs_if_lose_overtime,home_cup_if_lose_overtime,home_points_if_lose_overtime,home_playoffs_if_lose_regulation,home_cup_if_lose_regulation,home_points_if_lose_regulation,away_playoffs_if_win,away_cup_if_win,away_points_if_win,away_playoffs_if_lose_overtime,away_cup_if_lose_overtime,away_points_if_lose_overtime,away_playoffs_if_lose_regulation,away_cup_if_lose_regulation,away_points_if_lose_regulation,home_record,away_record
2025020107,2025-10-21,2025-10-22 02:00:00,Final,UTA,COL,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,5 - 0 - 3
2025020108,2025-10-22,2025-10-22 23:00:00,Final,N.J,MIN,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,6 - 1 - 0,3 - 4 - 1
2025020109,2025-10-22,2025-10-22 23:30:00,Final,BUF,DET,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,3 - 4 - 0,5 - 3 - 0
2025020110,2025-10-22,2025-10-23 00:30:00,Final,CGY,MTL,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1 - 6 - 1,6 - 3 - 0
2025020111,2025-10-23,2025-10-23 23:00:00,Final,BOS,ANA,0.0,5.0,7.0,,,,,,,,,,,,,,,,,,,3 - 6 - 0,4 - 2 - 1
2025020112,2025-10-23,2025-10-23 23:00:00,Final,OTT,PHI,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,3 - 3 - 1
2025020113,2025-10-23,2025-10-23 22:45:00,Final,T.B,CHI,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,4 - 2 - 2
2025020114,2025-10-23,2025-10-23 23:00:00,Final,FLA,PIT,0.0,3.0,5.0,,,,,,,,,,,,,,,,,,,4 - 5 - 0,6 - 2 - 0
2025020115,2025-10-23,2025-10-23 23:00:00,Final,NYI,DET,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,4 - 3 - 0,5 - 3 - 0
2025020116,2025-10-23,2025-10-23 23:00:00,Final,NYR,S.J,0.0,5.0,6.0,,,,,,,,,,,,,,,,,,,3 - 4 - 2,1 - 4 - 2
2025020117,2025-10-23,2025-10-24 00:00:00,Final,STL,UTA,0.0,4.0,7.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,6 - 2 - 0
2025020118,2025-10-23,2025-10-24 00:00:00,Final,NSH,VAN,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,4 - 4 - 0
2025020119,2025-10-23,2025-10-24 01:00:00,Final,DAL,L.A,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 3 - 2
2025020120,2025-10-23,2025-10-24 00:00:00,Final,WPG,SEA,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,4 - 2 - 2
2025020121,2025-10-23,2025-10-24 01:00:00,Final,COL,CAR,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,5 - 0 - 3,6 - 1 - 0
2025020122,2025-10-23,2025-10-24 01:00:00,Final,EDM,MTL,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,4 - 3 - 1,6 - 3 - 0
2025020123,2025-10-24,2025-10-24 23:00:00,Scheduled,BUF,TOR,0.4979,3.3874,3.3832,0.5573408314922675,0.015866639887527616,89.61016268326973,0.48124191461837,0.014230271668822769,88.63260025873221,0.4759887005649718,0.01647834274952919,87.71468926553672,0.8466440948018323,0.06034654451304521,96.55586536546505,0.7926208651399491,0.05343511450381679,95.34351145038168,0.7741473885046506,0.05676126878130217,94.39542093966134,3 - 4 - 0,3 - 3 - 1
2025020124,2025-10-24,2025-10-24 23:00:00,Scheduled,N.J,S.J,0.6431,3.7201,2.8341,0.8440366972477065,0.0317213497123309,97.53459804074016,0.80248833592535,0.029548989113530325,96.48989113530327,0.7911825017088175,0.02836637047163363,95.91934381408066,0.035864387783692914,0.0002801905295601009,73.64051555057439,0.025240384615384616,0.001201923076923077,72.31971153846153,0.017324522236113592,0.0,71.08037149490981,6 - 1 - 0,1 - 4 - 2
2025020125,2025-10-24,2025-10-24 23:00:00,Scheduled,CBJ,WSH,0.5261,3.3734,3.2233,0.4603687511879871,0.009313818665652918,88.76753468922259,0.42513368983957217,0.013368983957219251,87.93582887700535,0.3720871961914307,0.00952142320220496,86.95164119268354,0.6476049799535767,0.01772525849335303,92.47098543996624,0.5752427184466019,0.014563106796116505,91.39563106796116,0.5469912102772143,0.012621140410187063,90.40725715573586,3 - 3 - 0,5 - 2 - 0
2025020126,2025-10-24,2025-10-25 00:00:00,Scheduled,WPG,CGY,0.5519,3.0073,2.7172,0.3420909585069759,0.0021743069396629824,85.82080086972277,0.3037383177570093,0.002336448598130841,85.12383177570094,0.26648275862068965,0.001379310344827586,83.91503448275861,0.07319794688685562,0.0004463289444320464,77.06494086141487,0.04671857619577308,0.0,75.86651835372636,0.046103896103896105,0.0,74.98787878787878,5 - 2 - 0,1 - 6 - 1
2025020127,2025-10-25,2025-10-25 16:30:00,Scheduled,PHI,NYI,0.5358,3.2158,2.9875,0.12075401269130273,0.0003732736095558044,80.11870100783875,0.1018867924528302,0.0025157232704402514,79.09308176100629,0.0792825578372758,0.0002599428125812321,78.11021575253444,0.12473071951744938,0.0008616975441619991,80.45777682033606,0.09767441860465116,0.0,79.47674418604652,0.09270787016451756,0.0,78.61938639395287,3 - 3 - 1,4 - 3 - 0
2025020128,2025-10-25,2025-10-25 19:00:00,Scheduled,BOS,COL,0.4036,2.9809,3.6101,0.06689791873141725,0.0002477700693756194,76.81937561942517,0.04823529411764706,0.001176470588235294,75.3670588235294,0.04438795463433711,0.00019554165037152912,74.63101290574892,0.9668008048289738,0.0829979879275654,103.84087860496311,0.9541547277936963,0.09025787965616046,102.94985673352436,0.9472738166566806,0.08238466147393649,101.8355302576393,3 - 6 - 0,5 - 0 - 3
2025020129,2025-10-25,2025-10-25 21:00:00,Scheduled,T.B,ANA,0.6961,4.0002,2.7058,0.9166786381267059,0.1459560407987358,99.81209596322367,0.9314194577352473,0.14832535885167464,98.94417862838915,0.8909618573797679,0.14386401326699835,98.26824212271974,0.2102665350444225,0.0009871668311944718,82.06383678841725,0.17611580217129072,0.0012062726176115801,81.16767189384801,0.14823874755381605,0.00032615786040443573,80.17155903457274,1 - 4 - 2,4 - 2 - 1
2025020130,2025-10-25,2025-10-25 22:00:00,Scheduled,FLA,VGK,0.4668,2.979,3.1805,0.5098543273350471,0.013496143958868894,88.78963153384747,0.462877030162413,0.015081206496519721,87.68677494199535,0.4243847874720358,0.010738255033557046,86.84317673378077,0.9744936234058514,0.08870967741935484,104.7162415603901,0.9616810877626699,0.08034610630407911,103.25587144622992,0.960352422907489,0.09069707178025395,102.58719875615445,4 - 5 - 0,5 - 0 - 2
2025020131,2025-10-25,2025-10-25 22:00:00,Scheduled,MIN,UTA,0.5395,3.358,3.0934,0.5911028730305838,0.01556997219647822,90.87025023169602,0.535575679172057,0.014230271668822769,89.89650711513583,0.4846033402922756,0.010177453027139875,88.83768267223383,0.7808903365906623,0.023235613463626494,95.30206297502714,0.6841432225063938,0.0319693094629156,93.49616368286445,0.6887058313461956,0.015608064166486017,93.06373292867981,3 - 4 - 1,6 - 2 - 0
